codigo;codigo1;codigo2;codigo3;codigo4;nombre;costo_sud;pvp_sud;disponibilidad_sud;min_ofer_sud;costo_k;pvp_k;min_ofer_k;ofer_k;precio_descuento_k;disponibilidad_k;disponibilidad_k_cc;disponibilidad_k_sfe;costo_doan;pvp_doan;disponibilidad_doan;costo_lider;pvp_lider;costo_descuento_lider;pvp_descuento_lider;compra_minima_descuento_lider;marca;costo_cannon;pvp_cannon;costo_indio;pvp_indio;disponibilidad_indio;costo_monroe;costo_noTRF_monroe;pvp_monroe;min_ofer_monroe;disponibilidad_monroe;mkt
7791984000485;7790839000861;;;;102 ANOS PLUS ANTIOXIDANTE 30 COMP;9727.8;16059;D;2;9729.29;16059.0;2.0;TRF;;D;D;D;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9727.39;10093.96;16059;2.0;D;-
7791984001970;;;;;102 HOMBRE +50 30 COMP REC SUP DIE;12322.55;20339;F;2;12324.88;20339.0;2.0;TRF;;D;D;D;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12322.59;13203.92;20339;2.0;D;-
7791984001512;;;;;102 MAGNESIO 30 COMP REC SUP DIE;8653.19;14279;D;2;8654.53;14289.0;2.0;TRF;;D;D;D;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8652.84;8978.91;14279;2.0;D;-
7791984001758;;;;;102 MAGNESIO CITRATO 30 COMP SUP DIE;9197.66;15179;D;2;9199.07;15179.0;2.0;TRF;;D;D;D;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9197.28;9543.87;15179;2.0;D;-
7791984001529;;;;;102 MAGNESIO GUMMIES 90 UN FCO SUP DIE;10747.79;17739;D;2;10749.43;17739.0;2.0;TRF;;D;D;F;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10747.34;11152.35;17739;2.0;D;-
7791984001987;;;;;102 MUJER +50 30 COMP REC SUP DIE;12322.55;20339;D;2;12324.88;20339.0;2.0;TRF;;D;D;F;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12322.59;13203.92;20339;2.0;D;-
7791984001154;7791984999536;;;;102 MUJER 30 CAPS BLANDAS SUP DIE;11697.47;19299;D;2;11699.27;19299.0;2.0;TRF;;D;D;D;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11696.99;12137.78;19299;2.0;D;-
7791984001192;;;;;102 SPORT BCAA 30 SOBRES SUP DIE;19895.81;32829;D;2;19899.59;32839.0;2.0;TRF;;D;D;D;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19895.91;21318.90;32829;2.0;D;-
7791984001710;;;;;102 VITAMINA C 30 COMP REC SUP DIE;9453.7;15599;D;1;9455.49;15599.0;1.0;TRF;;D;D;D;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9453.75;10129.89;15599;1.0;D;-
7791984001635;;;;;102 VITAMINA C 30 SOBRES SUP DIE;10606.67;17499;D;1;10608.69;17499.0;1.0;TRF;;D;D;D;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10606.73;11365.34;17499;1.0;D;-
7792321003541;;;;;317 KIT COLOR 0,8 CIRUELA ROJA TIN;1623.66;2679;D;1;;;-;-;;-;-;-;-;-;-;1648.44;2729.0;-;-;-;;-;-;-;-;-;-;-;-;-;-;-
7792321003138;;;;;317 KIT COLOR 0.11 NEGRO AZULADO TIN;1623.66;2679;F;1;;;-;-;;-;-;-;-;-;-;1648.41;2729.0;-;-;-;;-;-;-;-;-;-;-;-;-;-;-
7792321003527;;;;;317 KIT COLOR 0.5 ROJO FUEGO TIN;1623.66;2679;D;1;;;-;-;;-;-;-;-;-;-;1648.44;2729.0;-;-;-;;-;-;-;-;-;-;-;-;-;-;-
7792321003145;;;;;317 KIT COLOR 1 NEGRO INTENSO TIN;1623.66;2679;D;1;;;-;-;;-;-;-;-;-;-;1648.41;2729.0;-;-;-;;-;-;-;-;-;-;-;-;-;-;-
7792321003275;;;;;317 KIT COLOR 10.1 PLATINO TIN;1623.66;2679;D;1;;;-;-;;-;-;-;-;-;-;1648.41;2729.0;-;-;-;;-;-;-;-;-;-;-;-;-;-;-
7792321003152;;;;;317 KIT COLOR 3 CASTANO OSCURO TIN;1623.66;2679;D;1;;;-;-;;-;-;-;-;-;-;1648.41;2729.0;-;-;-;;-;-;-;-;-;-;-;-;-;-;-
